SALESORDERID,HISTORY_CREATEDBY_EMPLOYEEID,HISTORY_CREATEDAT,HISTORY_CHANGEDBY_EMPLOYEEID,HISTORY_CHANGEDAT,PARTNER_PARTNERID,LIFECYCLESTATUS,BILLINGSTATUS,DELIVERYSTATUS,HEADER_SALESORDERID,PRODUCT_PRODUCTID,NOTEID,CURRENCY,ITEMATPSTATUS,OPITEMPOS,QUANTITYUNIT,DELIVERYDATE,GROSSAMOUNT,NETAMOUNT,TAXAMOUNT,QUANTITY
500000044,27,2015-02-14,32,2015-02-28,100000009,C,P,D,500000044,HT-1071,,ZAR,I,,EA,2015-12-04,97.22,81.70,15.52,1.000
500000045,3,2015-02-15,20,2015-02-28,100000000,C,P,D,500000045,HT-1210,,EUR,I,,EA,2015-12-04,5709.62,4798.00,911.62,2.000
500000045,3,2015-02-15,20,2015-02-28,100000000,C,P,D,500000045,HT-1500,,EUR,I,,EA,2015-12-04,11900.00,10000.00,1900.00,2.000
500000046,15,2015-02-16,23,2015-03-01,100000002,X,I,I,500000046,HT-1063,,BRL,I,,EA,2015-12-04,33.32,28.00,5.32,2.000
500000046,15,2015-02-16,23,2015-03-01,100000002,X,I,I,500000046,HT-1064,,CAD,I,,EA,2015-12-04,19.04,16.00,3.04,1.000
500000047,11,2015-02-17,10,2015-03-02,100000008,C,P,D,500000047,HT-1102,,USD,I,,EA,2015-12-04,246.33,207.00,39.33,3.000
500000047,11,2015-02-17,10,2015-03-02,100000008,C,P,D,500000047,HT-1103,,EUR,I,,EA,2015-12-04,274.89,231.00,43.89,3.000
500000048,16,2015-02-18,29,2015-03-03,100000006,C,P,D,500000048,HT-1104,,JPY,I,,EA,2015-12-04,196.35,165.00,31.35,3.000
500000048,16,2015-02-18,29,2015-03-03,100000006,C,P,D,500000048,HT-1105,,EUR,I,,EA,2015-12-04,103.53,87.00,16.53,3.000
500000049,33,2015-02-19,8,2015-03-04,100000005,N,I,I,500000049,HT-1116,,MXN,I,,EA,2015-12-04,128.52,108.00,20.52,3.000
500000049,33,2015-02-19,8,2015-03-04,100000005,N,I,I,500000049,HT-1117,,EUR,I,,EA,2015-12-04,135.66,114.00,21.66,3.000
500000050,28,2015-02-20,29,2015-03-05,100000026,N,I,I,500000050,HT-1000,,EUR,I,,EA,2015-12-04,1137.64,956.00,181.64,1.000
500000050,28,2015-02-20,29,2015-03-05,100000026,N,I,I,500000050,HT-1001,,EUR,I,,EA,2015-12-04,2972.62,2498.00,474.62,2.000
500000051,17,2015-02-21,30,2015-03-06,100000025,C,P,D,500000051,HT-1030,,EUR,I,,EA,2015-12-04,547.40,460.00,87.40,2.000
500000051,17,2015-02-21,30,2015-03-06,100000025,C,P,D,500000051,HT-1031,,GBP,I,,EA,2015-12-04,339.15,285.00,54.15,1.000
500000052,11,2015-02-22,19,2015-03-07,100000022,X,I,I,500000052,HT-1040,,EUR,I,,EA,2015-12-04,2963.10,2490.00,473.10,3.000
500000052,11,2015-02-22,19,2015-03-07,100000022,X,I,I,500000052,HT-1041,,ARS,I,,EA,2015-12-04,583.10,490.00,93.10,1.000
500000053,14,2015-02-23,27,2015-03-08,100000024,C,P,D,500000053,HT-1073,,EUR,I,,EA,2015-12-04,85.68,72.00,13.68,3.000
500000053,14,2015-02-23,27,2015-03-08,100000024,C,P,D,500000053,HT-1080,,INR,I,,EA,2015-12-04,182.07,153.00,29.07,3.000
500000054,6,2015-02-24,3,2015-03-09,100000024,P,I,I,500000054,HT-1100,,USD,I,,EA,2015-12-04,213.96,179.80,34.16,2.000
500000054,6,2015-02-24,3,2015-03-09,100000024,P,I,I,500000054,HT-1101,,EUR,I,,EA,2015-12-04,95.08,79.90,15.18,1.000
500000055,6,2015-02-25,6,2015-03-10,100000021,C,P,D,500000055,HT-1500,,EUR,I,,EA,2015-12-04,5950.00,5000.00,950.00,1.000
500000055,6,2015-02-25,6,2015-03-10,100000021,C,P,D,500000055,HT-1501,,JPY,I,,EA,2015-12-04,3570.00,3000.00,570.00,2.000
500000056,19,2015-02-26,22,2015-03-11,100000023,C,P,D,500000056,HT-1105,,EUR,I,,EA,2015-12-04,103.53,87.00,16.53,3.000
500000056,19,2015-02-26,22,2015-03-11,100000023,C,P,D,500000056,HT-1106,,MXN,I,,EA,2015-12-04,40.46,34.00,6.46,1.000
500000057,1,2015-02-27,17,2015-03-12,100000019,N,I,I,500000057,HT-1030,,EUR,I,,EA,2015-12-04,547.40,460.00,87.40,2.000
500000057,1,2015-02-27,17,2015-03-12,100000019,N,I,I,500000057,HT-1031,,GBP,I,,EA,2015-12-04,1017.45,855.00,162.45,3.000
500000058,13,2015-02-28,24,2015-03-13,100000026,X,I,I,500000058,HT-1060,,EUR,I,,EA,2015-12-04,21.42,18.00,3.42,2.000
500000058,13,2015-02-28,24,2015-03-13,100000026,X,I,I,500000058,HT-1061,,EUR,I,,EA,2015-12-04,16.66,14.00,2.66,2.000
500000059,31,2015-02-28,30,2015-03-14,100000026,P,I,D,500000059,HT-1040,,EUR,I,,EA,2015-12-04,1975.40,1660.00,315.40,2.000
500000059,31,2015-02-28,30,2015-03-14,100000026,P,I,D,500000059,HT-1041,,ARS,I,,EA,2015-12-04,1166.20,980.00,186.20,2.000
500000060,31,2015-03-01,11,2015-03-15,100000025,P,P,I,500000060,HT-1070,,ARS,I,,EA,2015-12-04,168.74,141.80,26.94,2.000
500000060,31,2015-03-01,11,2015-03-15,100000025,P,P,I,500000060,HT-1071,,ZAR,I,,EA,2015-12-04,194.45,163.40,31.05,2.000
500000061,23,2015-03-02,16,2015-03-16,100000019,C,P,D,500000061,HT-1104,,JPY,I,,EA,2015-12-04,65.45,55.00,10.45,1.000
500000061,23,2015-03-02,16,2015-03-16,100000019,C,P,D,500000061,HT-1105,,EUR,I,,EA,2015-12-04,103.53,87.00,16.53,3.000
500000062,4,2015-03-03,28,2015-03-17,100000022,N,I,I,500000062,HT-1000,,EUR,I,,EA,2015-12-04,2275.28,1912.00,363.28,2.000
500000062,4,2015-03-03,28,2015-03-17,100000022,N,I,I,500000062,HT-1001,,EUR,I,,EA,2015-12-04,2972.62,2498.00,474.62,2.000
500000063,17,2015-03-04,23,2015-03-18,100000024,P,I,D,500000063,HT-1022,,ARS,I,,EA,2015-12-04,243.95,205.00,38.95,1.000
500000063,17,2015-03-04,23,2015-03-18,100000024,P,I,D,500000063,HT-1023,,USD,I,,EA,2015-12-04,853.23,717.00,136.23,3.000
500000064,12,2015-03-05,11,2015-03-19,100000024,N,I,I,500000064,HT-1040,,EUR,I,,EA,2015-12-04,987.70,830.00,157.70,1.000
500000064,12,2015-03-05,11,2015-03-19,100000024,N,I,I,500000064,HT-1041,,ARS,I,,EA,2015-12-04,1166.20,980.00,186.20,2.000
500000065,25,2015-03-06,22,2015-03-20,100000021,C,P,D,500000065,HT-1055,,EUR,I,,EA,2015-12-04,353.43,297.00,56.43,3.000
500000065,25,2015-03-06,22,2015-03-20,100000021,C,P,D,500000065,HT-1056,,JPY,I,,EA,2015-12-04,283.22,238.00,45.22,2.000
500000066,19,2015-03-07,31,2015-03-21,100000019,N,I,I,500000066,HT-1067,,EUR,I,,EA,2015-12-04,8.33,7.00,1.33,2.000
500000066,19,2015-03-07,31,2015-03-21,100000019,N,I,I,500000066,HT-1068,,USD,I,,EA,2015-12-04,4.17,3.50,0.67,1.000
500000067,17,2015-03-08,14,2015-03-22,100000022,C,P,D,500000067,HT-1100,,USD,I,,EA,2015-12-04,106.98,89.90,17.08,1.000
500000067,17,2015-03-08,14,2015-03-22,100000022,C,P,D,500000067,HT-1107,,ARS,I,,EA,2015-12-04,71.16,59.80,11.36,2.000
500000068,19,2015-03-09,16,2015-03-23,100000025,P,P,I,500000068,HT-1100,,USD,I,,EA,2015-12-04,320.94,269.70,51.24,3.000
500000068,19,2015-03-09,16,2015-03-23,100000025,P,P,I,500000068,HT-1101,,EUR,I,,EA,2015-12-04,285.24,239.70,45.54,3.000
500000069,11,2015-03-10,29,2015-03-24,100000026,N,I,I,500000069,HT-1070,,ARS,I,,EA,2015-12-04,253.11,212.70,40.41,3.000
500000069,11,2015-03-10,29,2015-03-24,100000026,N,I,I,500000069,HT-1071,,ZAR,I,,EA,2015-12-04,97.22,81.70,15.52,1.000
500000070,4,2015-03-11,17,2015-03-25,100000026,X,I,I,500000070,HT-1082,,ARS,I,,EA,2015-12-04,402.22,338.00,64.22,2.000
500000070,4,2015-03-11,17,2015-03-25,100000026,X,I,I,500000070,HT-1083,,CNY,I,,EA,2015-12-04,1237.60,1040.00,197.60,2.000
500000071,22,2015-03-12,23,2015-03-26,100000025,N,I,I,500000071,HT-1113,,EUR,I,,EA,2015-12-04,5.47,4.60,0.87,2.000
500000071,22,2015-03-12,23,2015-03-26,100000025,N,I,I,500000071,HT-1114,,USD,I,,EA,2015-12-04,82.11,69.00,13.11,1.000
500000072,19,2015-03-13,16,2015-03-27,100000024,N,I,I,500000072,HT-1102,,USD,I,,EA,2015-12-04,246.33,207.00,39.33,3.000
500000072,19,2015-03-13,16,2015-03-27,100000024,N,I,I,500000072,HT-1103,,EUR,I,,EA,2015-12-04,274.89,231.00,43.89,3.000
500000073,15,2015-03-14,6,2015-03-28,100000021,N,I,I,500000073,HT-1104,,JPY,I,,EA,2015-12-04,196.35,165.00,31.35,3.000
500000073,15,2015-03-14,6,2015-03-28,100000021,N,I,I,500000073,HT-1105,,EUR,I,,EA,2015-12-04,103.53,87.00,16.53,3.000
500000074,3,2015-03-15,30,2015-03-29,100000022,C,P,D,500000074,HT-1116,,MXN,I,,EA,2015-12-04,128.52,108.00,20.52,3.000
500000074,3,2015-03-15,30,2015-03-29,100000022,C,P,D,500000074,HT-1117,,EUR,I,,EA,2015-12-04,135.66,114.00,21.66,3.000
500000075,16,2015-03-16,33,2015-03-30,100000023,X,I,I,500000075,HT-1000,,EUR,I,,EA,2015-12-04,1137.64,956.00,181.64,1.000
500000075,16,2015-03-16,33,2015-03-30,100000023,X,I,I,500000075,HT-1001,,EUR,I,,EA,2015-12-04,2972.62,2498.00,474.62,2.000
500000076,32,2015-03-17,8,2015-03-31,100000023,P,I,D,500000076,HT-1030,,EUR,I,,EA,2015-12-04,547.40,460.00,87.40,2.000
500000076,32,2015-03-17,8,2015-03-31,100000023,P,I,D,500000076,HT-1031,,GBP,I,,EA,2015-12-04,339.15,285.00,54.15,1.000
500000077,2,2015-03-18,21,2015-04-01,100000023,C,P,D,500000077,HT-1040,,EUR,I,,EA,2015-12-04,2963.10,2490.00,473.10,3.000
500000077,2,2015-03-18,21,2015-04-01,100000023,C,P,D,500000077,HT-1041,,ARS,I,,EA,2015-12-04,583.10,490.00,93.10,1.000
500000078,28,2015-03-19,31,2015-04-02,100000021,C,P,D,500000078,HT-1073,,EUR,I,,EA,2015-12-04,85.68,72.00,13.68,3.000
500000078,28,2015-03-19,31,2015-04-02,100000021,C,P,D,500000078,HT-1080,,INR,I,,EA,2015-12-04,182.07,153.00,29.07,3.000
500000079,4,2015-03-20,4,2015-04-03,100000019,N,I,I,500000079,HT-1100,,USD,I,,EA,2015-12-04,213.96,179.80,34.16,2.000
500000079,4,2015-03-20,4,2015-04-03,100000019,N,I,I,500000079,HT-1101,,EUR,I,,EA,2015-12-04,95.08,79.90,15.18,1.000
500000080,29,2015-03-21,1,2015-04-04,100000024,P,I,D,500000080,HT-1500,,EUR,I,,EA,2015-12-04,5950.00,5000.00,950.00,1.000
500000080,29,2015-03-21,1,2015-04-04,100000024,P,I,D,500000080,HT-1501,,JPY,I,,EA,2015-12-04,3570.00,3000.00,570.00,2.000
500000081,9,2015-03-22,17,2015-04-05,100000019,C,P,D,500000081,HT-1105,,EUR,I,,EA,2015-12-04,103.53,87.00,16.53,3.000
500000081,9,2015-03-22,17,2015-04-05,100000019,C,P,D,500000081,HT-1106,,MXN,I,,EA,2015-12-04,40.46,34.00,6.46,1.000
500000082,15,2015-03-23,19,2015-04-06,100000024,N,I,I,500000082,HT-1030,,EUR,I,,EA,2015-12-04,547.40,460.00,87.40,2.000
500000082,15,2015-03-23,19,2015-04-06,100000024,N,I,I,500000082,HT-1031,,GBP,I,,EA,2015-12-04,1017.45,855.00,162.45,3.000
500000083,8,2015-03-24,19,2015-04-07,100000026,C,P,D,500000083,HT-1060,,EUR,I,,EA,2015-12-04,21.42,18.00,3.42,2.000
500000083,8,2015-03-24,19,2015-04-07,100000026,C,P,D,500000083,HT-1061,,EUR,I,,EA,2015-12-04,16.66,14.00,2.66,2.000
500000084,28,2015-03-25,26,2015-04-08,100000026,C,P,D,500000084,HT-1500,,EUR,I,,EA,2015-12-04,11900.00,10000.00,1900.00,2.000
500000084,28,2015-03-25,26,2015-04-08,100000026,C,P,D,500000084,HT-1501,,JPY,I,,EA,2015-12-04,3570.00,3000.00,570.00,2.000
500000085,4,2015-03-26,15,2015-04-09,100000025,X,I,I,500000085,HT-1085,,DKK,I,,EA,2015-12-04,3567.62,2998.00,569.62,2.000
500000085,4,2015-03-26,15,2015-04-09,100000025,X,I,I,500000085,HT-1090,,EUR,I,,EA,2015-12-04,92.82,78.00,14.82,2.000
500000086,10,2015-03-27,15,2015-04-10,100000023,C,P,D,500000086,HT-1104,,JPY,I,,EA,2015-12-04,65.45,55.00,10.45,1.000
500000086,10,2015-03-27,15,2015-04-10,100000023,C,P,D,500000086,HT-1105,,EUR,I,,EA,2015-12-04,103.53,87.00,16.53,3.000
500000087,27,2015-03-28,27,2015-04-11,100000022,X,I,I,500000087,HT-1000,,EUR,I,,EA,2015-12-04,2275.28,1912.00,363.28,2.000
500000087,27,2015-03-28,27,2015-04-11,100000022,X,I,I,500000087,HT-1001,,EUR,I,,EA,2015-12-04,2972.62,2498.00,474.62,2.000
